passage_title,passage_text,question_text,question_type,option_a,option_b,option_c,option_d,correct_answers,marks,negative_marks,solution_text
Practice Set 1,"",A Professional Clearing Member of the derivatives segment,single_correct,Must be a cash segment member,Must become one within 2 years,Provides trading facilities to clients,Does not have trading rights,D,1,0.25,PCMs provide clearing services but cannot trade on the exchange.
Practice Set 1,"",Theta is a measure of the sensitivity of an option price to changes in market volatility - True or False?,single_correct,True,False,,,B,1,0.25,Theta measures sensitivity to time decay; Vega measures sensitivity to volatility.
Practice Set 1,"",Which of these complaints against a trading member can an Exchange redress?,single_correct,Land dealings,Arbitrated transaction issues,Notional loss claims,Unauthorized transaction in client account,D,1,0.25,"Exchanges can address unauthorized trading, margin shortfalls, delay in settlement, etc."
Practice Set 1,"",In India the clearing and settlement of derivatives trades is done through:,single_correct,State Bank of India,Euroclear,SEBI approved Clearing Corporation / Clearing House,The Interbank Clearing House,C,1,0.25,Clearing of F&O trades is handled by SEBI-approved clearing corporations.
Practice Set 1,"",Delta is the change in option price given a one percentage point change in the risk-free interest rate - True or False?,single_correct,False,True,,,A,1,0.25,Rho measures sensitivity to interest rates. Delta is sensitivity to the underlying price.
Practice Set 1,"",Can a Clearing Member give 'Fixed Deposits' as part of liquid assets to the Clearing Corporation?,single_correct,Yes,No,,,A,1,0.25,Fixed Deposits are acceptable as part of liquid assets along with cash and approved securities.
Practice Set 1,"",Vega measures change in delta with respect to change in price of the underlying asset - True or False?,single_correct,True,False,,,B,1,0.25,Vega measures sensitivity to volatility. Gamma measures change in Delta.
Practice Set 1,"",A short position in a PUT option can be closed out by taking a long position in the same PUT option - True or False?,single_correct,False,True,,,B,1,0.25,Opposite positions in the same contract (same strike/date) offset each other.
Practice Set 1,"",On final settlement the buyer/holder of the option will recognize the favorable difference received from the seller/writer as _______ in the profit and loss account.,single_correct,Income,Expense,Loan,Amortization,A,1,0.25,Any favorable payoff is treated as income in the books of the option holder.
Practice Set 1,"",Higher the strike price the premium on call option will decrease - True or False?,single_correct,True,False,,,A,1,0.25,"Higher strike prices make options less valuable (lower intrinsic value), reducing premiums."
Practice Set 1,"",Trading is allowed in Indian equity markets in which of the following?,single_correct,Index Options,Individual Stock Options,Individual Stock Futures Options,All of the above,D,1,0.25,All three instruments are actively traded in Indian derivatives markets.
Practice Set 1,"",Can the exercise price be more than or equal to or less than the cash spot price?,single_correct,Yes,No,,,A,1,0.25,"The strike (exercise) price is fixed for an options contract, while the spot price can fluctuate. Therefore, the exercise price can be greater than, equal to, or less than the cash spot price."
Practice Set 1,"",Can one sell assets in futures market even if he does not own any such assets?,single_correct,Yes,No,,,A,1,0.25,"In futures markets, short-selling is allowed even without owning the underlying asset, as delivery is not mandatory and positions are usually squared off before expiry."
Practice Set 1,"",On the derivatives futures market if there are three series of one two and three months open at a point of time how many calendar spread can one have?,single_correct,1,2,3,4,C,1,0.25,"Calendar spreads are possible between (1-2), (2-3), and (1-3) month contracts. Hence, three combinations are possible."
Practice Set 1,"",All the 50 stocks of NSE Nifty index are equally weighed while calculating the index - State True or False?,single_correct,True,False,,,B,1,0.25,Nifty 50 is calculated using the free-float market capitalization method so stocks are not equally weighted.
Practice Set 1,"",What does a Call Option give the buyer?,single_correct,The right but not the obligation,The obligation but not the right,Gives both the right and obligation,Neither the right nor the obligation,A,1,0.25,A call option gives the buyer the right (but not the obligation) to buy the underlying asset at the strike price before or at expiry.
Practice Set 1,"",Speculators are those who take risk whereas hedgers are those who wish to reduce risk - State True or False?,single_correct,True,False,,,A,1,0.25,"Hedgers aim to minimize risk from adverse price movements, while speculators take on risk in hopes of making profit from market movements."
Practice Set 1,"",The money and securities which are deposited in a client's account,single_correct,Can be attached for meeting broker's obligations,Cannot be attached for meeting broker's obligations,Can or cannot be attached depending on clearing corporation,None of the above,B,1,0.25,Client funds and securities are kept in separate accounts and cannot be used to meet the broker's proprietary obligations.
Practice Set 1,"",In case there is a Stock Split of a company which is a part of an Index what will its impact be on the index value?,single_correct,Index value may change unpredictably,Index value remains unchanged,Index value will decrease,Index value will increase,B,1,0.25,"A stock split affects share price and quantity but not the market capitalization, hence index value remains unaffected."
Practice Set 1,"",'Time Decay' is beneficial to the,single_correct,Option Buyer,Option Seller,Both Buyer and Seller equally,Neither Buyer nor Seller,B,1,0.25,"As time passes, the time value of options erodes, which benefits the seller since the premium reduces."
Practice Set 1,"",Identify the TRUE statement with respect to a Put option.,single_correct,Buyer and seller both have obligations,Buyer has right to sell to the writer,Seller has right to buy from the buyer,Buyer has obligation but not the right,B,1,0.25,A put option gives the buyer the right (not obligation) to sell an asset at a specified price within a timeframe.
Practice Set 1,"",Mr. Menon has bought a futures contract and the price rises. In this case Mr. Menon will,single_correct,Make a profit,Make a loss,Depends on situation,Insufficient information,A,1,0.25,Buying a futures contract is a bullish strategy. If the price rises the buyer profits.
Practice Set 1,"",How is the forward contract which is for hedging purpose accounted for in books of accounts?,single_correct,Premium/discount shown in P&L,Premium/discount ignored,Premium/discount amortized over contract life,Not recognized at all,C,1,0.25,"Per AS-11, the forward premium or discount is amortized over the life of the contract if used for hedging."
Practice Set 1,"",A Derivative market helps in transferring the risk from,single_correct,Speculators to Hedgers,Arbitrageurs to Hedgers,Speculators to Arbitrageurs,Hedgers to Speculators,D,1,0.25,Derivatives enable hedgers to offload their risk to speculators who are willing to take it.
Practice Set 1,"",Which of these options is an example of a Calendar Spread?,single_correct,Short underpriced 1-month long overpriced another month,"Long stock futures, short stock",Long underpriced 1-month short overpriced another month,"Short stock futures, long stock",C,1,0.25,Calendar spreads involve arbitrage between contracts of different expiry months.
Practice Set 1,"",Ms. Kavita wants to 'Sell' on a futures market. For this she,single_correct,Need not own the underlying,Must own the underlying,Must own at least 25% of underlying,Must own at least 50% of underlying,A,1,0.25,"Futures contracts are standardized and traded on margin. Ownership of underlying is not required to sell."
Practice Set 1,"",The Derivatives market helps in,single_correct,Transferring risk from low to high risk appetite participants,Reallocating risk among participants,Both of the above,None of the above,C,1,0.25,"Derivatives help in risk transfer and reallocation, aiding both hedgers and speculators."
Practice Set 1,"",Identify the FALSE statement with respect to Options.,single_correct,Option contracts are NOT symmetrical,Buyer gets right seller bears obligation,Options have non-linear payoffs,Options have linear payoffs,D,1,0.25,"Options have asymmetric and non-linear payoffs. The buyer's risk is limited; the seller's risk can be unlimited."
Practice Set 1,"",'SCORES' is the name given to,single_correct,SEBI's complaint redressal system,Securities Collateral Records System,Exchange's risk and margin system,Suspicious transaction reporting,A,1,0.25,SCORES stands for SEBI COmplaints REdress System - a centralized online grievance mechanism.
Practice Set 1,"",A trading member reaches his prescribed position limits. Therefore he will,single_correct,Be allowed 5% more exposure,Not be able to reverse positions,Can take fresh positions for clients,Not be able to open new positions,D,1,0.25,"When position limits are breached, no fresh positions are allowed. Only reversal of existing ones is permitted."
Practice Set 1,"",A calendar spread in index futures will be treated as _______ in a far month contract if the near month contract expires.,single_correct,Long position,Short position,Optional position,Naked position,D,1,0.25,"With one leg expired, the spread becomes a single directional or naked position, increasing risk exposure."
Practice Set 1,"",The clearing member is free to close out transactions of a trading member if,single_correct,Initial margin not paid,Daily settlement dues not paid,Both of the above,,C,1,0.25,"Clearing members can close out positions if margin or settlement dues are unpaid, to mitigate systemic risk."
Practice Set 1,"",Identify the contract which is cleared and settled bilaterally:,single_correct,1-month Nifty futures,1-month USDINR options,3-month forward to buy CHF against INR,1-month GOI bond futures,C,1,0.25,"Forward contracts are over-the-counter and bilateral, unlike exchange-traded futures and options."
Practice Set 1,"",When the volatility of the underlying stock decreases the premium of its Call option will,single_correct,Increase,Decrease,Not change,,B,1,0.25,"Option premiums are directly proportional to volatility. Lower volatility leads to lower premium."
Practice Set 1,"",A European call option will give the buyer the right (but not the obligation) to buy the underlying at the strike price,single_correct,Only on the expiry date,On or before the expiry date,One day before expiry,One day after expiry,A,1,0.25,"European options can only be exercised on the expiry date, unlike American options."
Practice Set 1,"",In futures trading the margin is paid by,single_correct,Buyer only,Seller only,Both Buyer and Seller,Clearing Corporation,C,1,0.25,Both parties to a futures contract must deposit initial margin with the exchange to safeguard against default.
